"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_phd","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Religiousness","Feedback","Target"
"603","6/27/2014 13:11","6/27/2014 13:15","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,7,3,4,6,5,6,7,7,3,2,2,7,7,7,4,4,3,"187","28","61","1","41",NA,"Educated"
"604","6/27/2014 13:08","6/27/2014 13:16","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,6,4,6,6,6,5,5,2,5,2,6,6,5,6,5,3,4,"187","37","74","1","42",NA,"Scientists"
"605","6/27/2014 13:13","6/27/2014 13:17","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",3,3,2,4,3,2,2,3,4,3,2,5,4,3,3,2,2,1,"187","33","59","1","38",NA,"Scientists"
"606","6/27/2014 13:15","6/27/2014 13:17","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",4,3,3,6,5,6,3,4,4,4,5,5,5,5,6,4,4,2,"187","50","77","1","43",NA,"Scientists"
"610","6/27/2014 13:14","6/27/2014 13:23","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,4,2,5,4,5,4,5,5,1,1,2,4,1,1,1,2,1,"187","54","88","2","38",NA,"Educated"
"612","6/27/2014 13:25","6/27/2014 13:28","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,6,6,6,6,5,5,5,2,2,2,6,6,6,5,5,3,"187","39","66","1","38",NA,"Scientists"
"614","6/27/2014 13:28","6/27/2014 13:30","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",7,6,4,6,7,7,7,7,7,1,2,4,7,7,7,7,4,4,"187","36","72","1","41",NA,"Scientists"
"617","6/27/2014 13:28","6/27/2014 13:32","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,5,3,4,5,6,5,6,5,4,3,4,6,5,6,6,5,3,"187","41","82","2","41",NA,"Educated"
"619","6/27/2014 13:30","6/27/2014 13:34","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,7,3,6,5,6,5,7,6,4,3,4,7,7,7,3,5,3,"187","40","72","2","41",NA,"Scientists"
"620","6/27/2014 13:29","6/27/2014 13:34","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",3,3,3,7,5,6,6,5,6,5,5,3,7,6,6,6,5,5,"187","52","82","2","42",NA,"Scientists"
